# File generated by Melissa L. Graham. 
# 
# Each row represents photo-z results from a simulation with different limiting magnitudes. 
# The first row is for the baseline limiting magnidues. 
# In this file, the photo-z results are the robust standard deviation in redshift bins. 
# 
# Columns 1 to 6: survey simulation 5-sigma limiting magnitude in ugrizy 
# Columns 7 to 15: robust standard deviation in bins of photometric redshift 
# 
# z_bin_centers = [0.45,0.75,1.05,1.35,1.65,1.95,2.25,2.55,2.85] 
# z_bin_full_width = 0.30 
# z_bin_half_width = 0.15 
# 
 26.09 27.38 27.53 26.83 26.05 24.86  0.0242  0.0162  0.0169  0.0259  0.0315  0.0318  0.0306  0.0471  0.0863
 23.15 27.38 27.53 26.83 26.05 24.86  0.0274  0.0159  0.0173  0.0285  0.0467  0.0600  0.0311  0.0466  0.0731
 23.90 27.38 27.53 26.83 26.05 24.86  0.0266  0.0163  0.0174  0.0283  0.0472  0.0625  0.0356  0.0517  0.0688
 25.15 27.38 27.53 26.83 26.05 24.86  0.0257  0.0161  0.0175  0.0272  0.0396  0.0393  0.0306  0.0469  0.0821
 26.02 27.38 27.53 26.83 26.05 24.86  0.0248  0.0162  0.0175  0.0260  0.0321  0.0310  0.0293  0.0474  0.0665
 26.78 27.38 27.53 26.83 26.05 24.86  0.0225  0.0157  0.0170  0.0237  0.0300  0.0304  0.0301  0.0500  0.0676
 26.09 24.25 27.53 26.83 26.05 24.86  0.0524  0.0291  0.0213  0.0331  0.0778  0.1157  0.0637  0.1096  0.1900
 26.09 25.00 27.53 26.83 26.05 24.86  0.0370  0.0254  0.0199  0.0306  0.0563  0.0615  0.0402  0.0609  0.0817
 26.09 26.25 27.53 26.83 26.05 24.86  0.0274  0.0197  0.0185  0.0282  0.0349  0.0364  0.0334  0.0507  0.0712
 26.09 27.12 27.53 26.83 26.05 24.86  0.0241  0.0164  0.0171  0.0265  0.0322  0.0322  0.0320  0.0482  0.0718
 26.09 27.88 27.53 26.83 26.05 24.86  0.0230  0.0157  0.0167  0.0252  0.0299  0.0291  0.0319  0.0421  0.0648
 26.09 27.38 23.95 26.83 26.05 24.86  0.0836  0.0538  0.0351  0.0357  0.2215  0.2882  0.3327  0.4432  0.3990
 26.09 27.38 24.70 26.83 26.05 24.86  0.0556  0.0368  0.0265  0.0334  0.0632  0.1791  0.1149  0.1870  0.2412
 26.09 27.38 25.95 26.83 26.05 24.86  0.0323  0.0230  0.0198  0.0286  0.0365  0.0432  0.0445  0.0561  0.0965
 26.09 27.38 26.82 26.83 26.05 24.86  0.0266  0.0184  0.0188  0.0272  0.0333  0.0362  0.0306  0.0427  0.0751
 26.09 27.38 27.58 26.83 26.05 24.86  0.0242  0.0158  0.0170  0.0256  0.0314  0.0322  0.0278  0.0465  0.0658
 26.09 27.38 27.53 23.25 26.05 24.86  0.0369  0.0493  0.0650  0.0397  0.0442  0.0729  0.0919  0.1238  0.4628
